u1         v1         u2         v2         u3         v3         q         
----------------------------------------------------------------------
1          0          0          1          17601969   2364768    0         
0          1          1          -7         2364768    1048593    7         
1          -2         -7         15         1048593    267582     2         
-2         7          15         -52        267582     245847     3         
7          -9         -52        67         245847     21735      1         
-9         106        67         -789       21735      6762       11        
106        -327       -789       2434       6762       1449       3         
-327       1414       2434       -10525     1449       966        4         
1414       -1741      -10525     12959      966        483        1         
-1741      4896       12959      -36443     483        0          2         
